freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.819e+01,6.799e+00,9.532e+00,9.452e+01
1.5,5.735e+01,1.977e+01,3.414e+01,1.113e+02
3.0,2.115e+01,2.109e+01,3.704e+01,7.928e+01
4.5,1.474e+02,2.066e+01,3.863e+01,2.067e+02
6.0,6.474e+02,2.171e+01,4.080e+01,7.099e+02
7.4,1.210e+03,2.267e+01,5.523e+01,1.288e+03
8.9,1.285e+03,2.677e+01,6.860e+01,1.381e+03
10.4,1.339e+03,3.562e+01,5.723e+01,1.432e+03
11.9,1.623e+03,3.237e+01,6.424e+01,1.720e+03
13.4,2.427e+03,3.290e+01,6.792e+01,2.528e+03
14.9,3.045e+03,3.891e+01,6.003e+01,3.144e+03
16.4,4.034e+03,4.570e+01,5.970e+01,4.140e+03
17.9,5.127e+03,4.748e+01,5.960e+01,5.234e+03
19.4,6.177e+03,5.426e+01,5.967e+01,6.291e+03
20.8,7.224e+03,6.033e+01,6.411e+01,7.348e+03
22.3,8.706e+03,7.039e+01,6.142e+01,8.838e+03
23.8,1.037e+04,6.747e+01,5.856e+01,1.050e+04
25.3,1.262e+04,9.782e+01,6.254e+01,1.278e+04
26.8,1.534e+04,2.150e+02,7.681e+01,1.564e+04
28.3,1.685e+04,2.714e+02,8.652e+01,1.721e+04
29.8,1.912e+04,1.587e+02,6.711e+01,1.934e+04
31.3,2.372e+04,7.112e+01,5.575e+01,2.385e+04
32.7,2.950e+04,3.718e+01,5.872e+01,2.959e+04
34.2,3.811e+04,4.127e+01,6.359e+01,3.821e+04
35.7,4.629e+04,4.735e+01,7.015e+01,4.641e+04
37.2,5.686e+04,5.055e+01,9.817e+01,5.701e+04
38.7,6.557e+04,7.058e+01,1.601e+02,6.581e+04
40.2,6.798e+04,6.345e+01,1.395e+02,6.818e+04
41.7,7.181e+04,4.891e+01,1.115e+02,7.197e+04
43.2,6.716e+04,4.524e+01,1.249e+02,6.733e+04
44.7,6.257e+04,3.566e+01,1.552e+02,6.276e+04
46.1,7.092e+04,2.882e+01,2.439e+02,7.119e+04
47.6,8.756e+04,2.721e+01,8.217e+02,8.841e+04
49.1,9.504e+04,4.750e+01,2.136e+03,9.722e+04
50.6,9.726e+04,1.123e+02,3.797e+03,1.012e+05
52.1,9.031e+04,2.869e+02,7.311e+03,9.791e+04
53.6,8.164e+04,3.929e+02,8.026e+03,9.006e+04
55.1,7.441e+04,3.924e+02,5.984e+03,8.079e+04
56.6,6.338e+04,3.433e+02,3.831e+03,6.755e+04
58.1,5.180e+04,3.103e+02,2.439e+03,5.455e+04
59.5,4.637e+04,2.983e+02,1.674e+03,4.834e+04
61.0,4.478e+04,2.454e+02,1.089e+03,4.611e+04
62.5,4.198e+04,2.085e+02,6.747e+02,4.287e+04
64.0,3.773e+04,1.873e+02,4.580e+02,3.837e+04
65.5,3.453e+04,1.510e+02,3.173e+02,3.500e+04
67.0,3.215e+04,1.162e+02,2.160e+02,3.248e+04
68.5,3.071e+04,9.799e+01,1.661e+02,3.097e+04
70.0,2.966e+04,8.779e+01,1.365e+02,2.989e+04
71.4,2.830e+04,8.276e+01,1.312e+02,2.852e+04
72.9,2.684e+04,7.578e+01,1.312e+02,2.704e+04
74.4,2.507e+04,6.979e+01,1.237e+02,2.526e+04
75.9,2.317e+04,5.833e+01,1.197e+02,2.335e+04
77.4,2.127e+04,4.412e+01,1.188e+02,2.144e+04
78.9,1.942e+04,3.285e+01,1.115e+02,1.956e+04
80.4,1.742e+04,2.548e+01,1.058e+02,1.755e+04
81.9,1.479e+04,2.692e+01,1.139e+02,1.494e+04
83.4,1.306e+04,3.123e+01,1.269e+02,1.322e+04
84.8,1.219e+04,4.421e+01,1.347e+02,1.237e+04
86.3,1.119e+04,7.286e+01,1.660e+02,1.143e+04
87.8,1.042e+04,1.111e+02,1.998e+02,1.073e+04
89.3,9.725e+03,2.013e+02,2.725e+02,1.020e+04
90.8,9.361e+03,3.637e+02,4.447e+02,1.017e+04
92.3,8.860e+03,4.387e+02,5.639e+02,9.863e+03
93.8,8.286e+03,3.829e+02,5.933e+02,9.262e+03
95.3,7.545e+03,2.796e+02,5.724e+02,8.397e+03
96.8,6.436e+03,2.271e+02,4.780e+02,7.141e+03
98.2,5.393e+03,3.349e+02,4.513e+02,6.179e+03
99.7,4.568e+03,4.914e+02,4.633e+02,5.523e+03
101.2,3.795e+03,5.122e+02,5.394e+02,4.846e+03
102.7,2.899e+03,5.090e+02,7.558e+02,4.164e+03
104.2,2.050e+03,6.191e+02,1.110e+03,3.779e+03
105.7,1.410e+03,7.588e+02,1.824e+03,3.992e+03
107.2,1.191e+03,8.643e+02,3.070e+03,5.124e+03
108.7,1.563e+03,9.437e+02,4.627e+03,7.134e+03
110.1,2.369e+03,9.009e+02,6.125e+03,9.394e+03
111.6,2.972e+03,7.385e+02,6.806e+03,1.052e+04
113.1,3.296e+03,6.885e+02,6.412e+03,1.040e+04
114.6,4.202e+03,8.567e+02,6.565e+03,1.162e+04
116.1,4.505e+03,1.281e+03,6.500e+03,1.229e+04
117.6,4.139e+03,5.144e+03,6.064e+03,1.535e+04
119.1,7.799e+03,2.152e+04,7.280e+03,3.660e+04
120.6,1.628e+04,4.400e+04,9.582e+03,6.986e+04
122.1,2.517e+04,5.242e+04,1.045e+04,8.804e+04
123.5,3.218e+04,4.947e+04,7.933e+03,8.958e+04
125.0,3.528e+04,3.989e+04,3.215e+03,7.838e+04
126.5,3.878e+04,3.085e+04,7.321e+02,7.037e+04
128.0,3.763e+04,2.569e+04,4.166e+02,6.374e+04
129.5,3.306e+04,1.982e+04,3.453e+02,5.322e+04
131.0,2.943e+04,1.752e+04,2.225e+02,4.717e+04
132.5,2.171e+04,1.326e+04,1.683e+02,3.514e+04
134.0,5.358e+03,3.467e+03,1.745e+02,8.999e+03
135.5,9.790e+02,5.391e+02,1.675e+02,1.686e+03
136.9,8.575e+02,4.093e+02,1.626e+02,1.429e+03
138.4,8.053e+02,4.225e+02,1.545e+02,1.382e+03
139.9,4.722e+02,3.845e+02,1.562e+02,1.013e+03
141.4,3.378e+02,3.660e+02,2.810e+02,9.848e+02
142.9,7.544e+02,4.086e+02,3.872e+02,1.550e+03
144.4,7.468e+02,4.084e+02,3.260e+02,1.481e+03
145.9,5.222e+02,3.655e+02,3.236e+02,1.211e+03
147.4,4.284e+02,4.337e+02,3.952e+02,1.257e+03
148.8,5.540e+02,6.155e+02,4.118e+02,1.581e+03
150.3,7.861e+02,9.406e+02,4.218e+02,2.149e+03
151.8,7.853e+02,1.092e+03,4.454e+02,2.323e+03
153.3,6.929e+02,1.196e+03,4.792e+02,2.369e+03
154.8,6.889e+02,1.333e+03,4.670e+02,2.489e+03
156.3,6.563e+02,1.324e+03,4.387e+02,2.419e+03
157.8,5.973e+02,1.335e+03,4.769e+02,2.410e+03
159.3,5.456e+02,1.592e+03,5.003e+02,2.638e+03
160.8,4.782e+02,1.933e+03,5.089e+02,2.920e+03
162.2,4.215e+02,2.248e+03,4.459e+02,3.115e+03
163.7,3.843e+02,2.679e+03,3.721e+02,3.435e+03
165.2,3.227e+02,3.058e+03,3.735e+02,3.754e+03
166.7,2.663e+02,3.573e+03,4.490e+02,4.288e+03
168.2,2.306e+02,4.173e+03,5.466e+02,4.950e+03
169.7,2.543e+02,5.218e+03,7.341e+02,6.206e+03
171.2,3.842e+02,7.628e+03,8.503e+02,8.863e+03
172.7,6.050e+02,1.108e+04,1.066e+03,1.275e+04
174.2,8.073e+02,1.319e+04,1.742e+03,1.574e+04
175.6,1.067e+03,1.430e+04,2.907e+03,1.827e+04
177.1,1.398e+03,1.598e+04,4.696e+03,2.207e+04
178.6,1.816e+03,1.928e+04,7.539e+03,2.864e+04
180.1,2.116e+03,2.346e+04,1.036e+04,3.594e+04
181.6,2.266e+03,2.920e+04,1.262e+04,4.409e+04
183.1,2.368e+03,3.496e+04,1.369e+04,5.102e+04
184.6,2.328e+03,3.809e+04,1.344e+04,5.385e+04
186.1,2.422e+03,3.957e+04,1.203e+04,5.401e+04
187.5,2.552e+03,3.984e+04,9.969e+03,5.236e+04
189.0,2.793e+03,3.956e+04,7.995e+03,5.034e+04
190.5,3.387e+03,4.000e+04,6.321e+03,4.971e+04
192.0,4.137e+03,4.088e+04,5.209e+03,5.022e+04
193.5,5.087e+03,4.264e+04,4.717e+03,5.245e+04
195.0,6.048e+03,4.374e+04,4.313e+03,5.410e+04
196.5,7.215e+03,4.481e+04,4.036e+03,5.606e+04
198.0,8.440e+03,4.526e+04,3.744e+03,5.745e+04
199.5,9.402e+03,4.404e+04,3.364e+03,5.680e+04
