freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.817e+00,8.723e+00,7.684e+01,8.938e+01
1.5,1.486e+01,1.956e+01,7.120e+01,1.056e+02
3.0,1.698e+01,1.842e+01,3.889e+01,7.430e+01
4.5,1.832e+01,1.829e+01,2.023e+02,2.389e+02
6.0,1.833e+01,1.882e+01,8.376e+02,8.748e+02
7.4,4.988e+01,2.069e+01,1.500e+03,1.571e+03
8.9,7.019e+01,2.198e+01,1.622e+03,1.714e+03
10.4,8.553e+01,2.584e+01,2.570e+03,2.681e+03
11.9,6.317e+01,2.558e+01,4.413e+03,4.502e+03
13.4,3.447e+01,2.723e+01,3.213e+03,3.275e+03
14.9,3.238e+01,3.062e+01,2.672e+03,2.735e+03
16.4,2.558e+01,3.076e+01,4.029e+03,4.085e+03
17.9,2.388e+01,3.416e+01,5.608e+03,5.666e+03
19.3,2.623e+01,3.836e+01,7.712e+03,7.777e+03
20.8,2.793e+01,3.736e+01,1.014e+04,1.021e+04
22.3,2.722e+01,4.478e+01,1.282e+04,1.289e+04
23.8,2.904e+01,5.697e+01,1.568e+04,1.577e+04
25.3,4.118e+01,5.103e+01,1.869e+04,1.878e+04
26.8,6.492e+01,6.168e+01,2.290e+04,2.303e+04
28.3,7.890e+01,1.759e+02,2.877e+04,2.902e+04
29.8,6.119e+01,2.959e+02,3.740e+04,3.776e+04
31.3,5.488e+01,3.996e+02,5.015e+04,5.060e+04
32.7,6.266e+01,5.405e+02,6.162e+04,6.222e+04
34.2,8.399e+01,8.069e+02,6.808e+04,6.897e+04
35.7,9.869e+01,8.995e+02,6.716e+04,6.816e+04
37.2,1.042e+02,7.945e+02,6.389e+04,6.479e+04
38.7,9.543e+01,6.587e+02,5.278e+04,5.354e+04
40.2,5.594e+01,4.015e+02,2.981e+04,3.027e+04
41.7,4.113e+01,1.694e+02,1.122e+04,1.143e+04
43.2,3.795e+01,1.263e+02,7.810e+03,7.974e+03
44.6,4.213e+01,1.451e+02,9.192e+03,9.380e+03
46.1,5.555e+01,2.867e+02,1.549e+04,1.583e+04
47.6,9.844e+01,9.051e+02,3.763e+04,3.863e+04
49.1,1.465e+02,2.006e+03,6.795e+04,7.011e+04
50.6,1.116e+02,2.664e+03,7.718e+04,7.996e+04
52.1,4.923e+01,2.809e+03,7.208e+04,7.494e+04
53.6,3.256e+01,2.834e+03,6.613e+04,6.899e+04
55.1,3.481e+01,2.790e+03,5.862e+04,6.145e+04
56.5,4.142e+01,2.389e+03,4.452e+04,4.695e+04
58.0,5.937e+01,1.879e+03,3.081e+04,3.275e+04
59.5,7.537e+01,1.391e+03,2.017e+04,2.163e+04
61.0,8.308e+01,1.010e+03,1.240e+04,1.350e+04
62.5,8.167e+01,7.595e+02,7.597e+03,8.439e+03
64.0,7.955e+01,5.990e+02,4.764e+03,5.442e+03
65.5,8.290e+01,5.099e+02,3.230e+03,3.823e+03
67.0,9.575e+01,4.709e+02,2.133e+03,2.700e+03
68.5,1.108e+02,4.254e+02,1.277e+03,1.814e+03
69.9,1.478e+02,3.739e+02,7.727e+02,1.294e+03
71.4,2.005e+02,3.215e+02,5.348e+02,1.057e+03
72.9,2.956e+02,2.487e+02,7.339e+02,1.278e+03
74.4,4.312e+02,1.901e+02,1.357e+03,1.978e+03
75.9,5.682e+02,1.997e+02,2.163e+03,2.931e+03
77.4,6.914e+02,2.513e+02,3.114e+03,4.057e+03
78.9,8.051e+02,3.376e+02,4.103e+03,5.246e+03
80.4,9.578e+02,4.658e+02,4.954e+03,6.377e+03
81.8,1.092e+03,5.742e+02,5.310e+03,6.976e+03
83.3,1.240e+03,7.594e+02,5.844e+03,7.844e+03
84.8,1.460e+03,1.045e+03,6.663e+03,9.168e+03
86.3,1.662e+03,1.409e+03,7.188e+03,1.026e+04
87.8,1.815e+03,2.036e+03,7.700e+03,1.155e+04
89.3,1.869e+03,2.914e+03,7.934e+03,1.272e+04
90.8,1.711e+03,3.609e+03,7.663e+03,1.298e+04
92.3,1.330e+03,3.515e+03,7.732e+03,1.258e+04
93.8,1.241e+03,3.754e+03,8.529e+03,1.352e+04
95.2,1.085e+03,4.112e+03,8.977e+03,1.417e+04
96.7,9.232e+02,4.427e+03,9.355e+03,1.470e+04
98.2,9.869e+02,4.968e+03,9.873e+03,1.583e+04
99.7,1.074e+03,5.371e+03,1.022e+04,1.666e+04
101.2,1.222e+03,5.561e+03,1.030e+04,1.708e+04
102.7,1.479e+03,5.889e+03,1.013e+04,1.750e+04
104.2,1.851e+03,6.685e+03,9.600e+03,1.814e+04
